,calculate_degree_centrality
Rosa Richmond,0.0012406947890818859
Arthur Mcneil,0.0012406947890818859
Marian Mulligan,0.0024813895781637717
Julie Schwein,0.0012406947890818859
Ellen Frink,0.0024813895781637717
Mildred Belvin,0.0012406947890818859
Rosario Klauer,0.0012406947890818859
David Pugh,0.0012406947890818859
Laura Graves,0.0024813895781637717
Russell Gregg,0.0012406947890818859
Alice Friedman,0.0012406947890818859
Priscilla Wagner,0.0012406947890818859
Sandra Evans,0.0012406947890818859
Darryl Hall,0.0012406947890818859
Randy Brown,0.0012406947890818859
Susan Korfhage,0.0037220843672456576
Richard Rooks,0.0024813895781637717
John Lahti,0.0024813895781637717
Laura Warfield,0.0012406947890818859
Marjorie Adams,0.0012406947890818859
Ronald Noe,0.0012406947890818859
Jacob Wright,0.0012406947890818859
Craig Hendrickson,0.0012406947890818859
Kendall Wilgus,0.0012406947890818859
Penny Tingle,0.0012406947890818859
Felecia Windham,0.0012406947890818859
Caroline Hughes,0.0024813895781637717
James Loughmiller,0.0012406947890818859
Larry Mills,0.0012406947890818859
William Townsend,0.0024813895781637717
Bruce Hooten,0.0024813895781637717
Filomena Higginbotham,0.0024813895781637717
Sean Colemen,0.0012406947890818859
Dolly Morris,0.0012406947890818859
Thomas Jacobs,0.0024813895781637717
Timothy Riblett,0.0024813895781637717
Bessie Freeman,0.0012406947890818859
Janet Aguirre,0.0012406947890818859
Jessica Azbill,0.0012406947890818859
Sergio Staff,0.0012406947890818859
Steve Gagnon,0.0012406947890818859
Sheryl Morgan,0.0012406947890818859
Sharon Turner,0.0024813895781637717
John Turner,0.0012406947890818859
David Gonzalez,0.0024813895781637717
Mary Luong,0.0024813895781637717
Louis Skinner,0.0012406947890818859
John Morring,0.0012406947890818859
Joe Bronner,0.0012406947890818859
Sean Stodden,0.0024813895781637717
Helen Abbott,0.0012406947890818859
Alvin Browne,0.0037220843672456576
Erika Friou,0.0024813895781637717
Joey Presley,0.0024813895781637717
Aaron Almaguer,0.0024813895781637717
Estela Mellinger,0.0012406947890818859
Shawn Vandy,0.0012406947890818859
Elba Hull,0.0012406947890818859
Shannon Kabat,0.0037220843672456576
Leroy Jones,0.0012406947890818859
Era Shape,0.0012406947890818859
Mary Lowry,0.0012406947890818859
Jennifer Lavery,0.0012406947890818859
Theresa Whitling,0.0012406947890818859
Lois Smith,0.0024813895781637717
Paulina Stephens,0.0012406947890818859
Susan Jones,0.0024813895781637717
Debra Scott,0.0012406947890818859
Elsie Rawlins,0.0024813895781637717
Mercedes Cappello,0.0012406947890818859
Pamelia Reichard,0.0012406947890818859
Patti Stratton,0.0012406947890818859
Frederick Gray,0.0012406947890818859
Linda Kim,0.0012406947890818859
Timothy Inman,0.0024813895781637717
James Mackley,0.0012406947890818859
Jeannette Goodman,0.0012406947890818859
Eileen Carpenter,0.0024813895781637717
Jacqueline Angel,0.0024813895781637717
Victoria Fruits,0.0012406947890818859
Brad Hardy,0.0012406947890818859
Leona Hall,0.0024813895781637717
Brian Kapinos,0.0024813895781637717
David Walker,0.0012406947890818859
Robert Massie,0.0012406947890818859
Tonya Jin,0.0012406947890818859
Carmen Arrey,0.0024813895781637717
Frances Blaney,0.0037220843672456576
Edna Lovejoy,0.0012406947890818859
Kelly Gearhart,0.0012406947890818859
John Segarra,0.0024813895781637717
Darleen Stackhouse,0.0012406947890818859
Linda Zucker,0.0012406947890818859
Danette Luczak,0.0012406947890818859
Willie Willard,0.0024813895781637717
Jacqueline Watkins,0.0012406947890818859
Robert Hevner,0.0012406947890818859
Andera Allen,0.0012406947890818859
Richard Carter,0.0012406947890818859
Salvador Linn,0.0012406947890818859
Jennifer Edwards,0.0037220843672456576
Debra Grove,0.0012406947890818859
Donald Pullins,0.0024813895781637717
Jeremy Farrell,0.0012406947890818859
Frank Holmes,0.0012406947890818859
Leslie Smith,0.0024813895781637717
Wanda Welch,0.0012406947890818859
Karla Williams,0.0024813895781637717
Ashley Pichler,0.0012406947890818859
Thomas Leblanc,0.0012406947890818859
Russell Lovelace,0.0024813895781637717
Amy Smith,0.0012406947890818859
