,calculate_degree_centrality
Brittany Disher,0.005235602094240838
Arthur Green,0.005235602094240838
Carol Doerr,0.005235602094240838
Mercedes Cappello,0.005235602094240838
Jesus Martell,0.005235602094240838
Helen Hall,0.005235602094240838
Janet Castro,0.005235602094240838
Debra Bell,0.005235602094240838
Shaun Hudson,0.005235602094240838
Terrance Joseph,0.010471204188481676
Gregory Brown,0.005235602094240838
Sabrina Butler,0.005235602094240838
Doris Shaw,0.005235602094240838
Kelly Gearhart,0.005235602094240838
April Thomas,0.010471204188481676
Peggy Hopkins,0.005235602094240838
Lynn Holt,0.005235602094240838
Roger Rosso,0.005235602094240838
Lloyd Gardner,0.005235602094240838
Tommie Wiggins,0.005235602094240838
James Simpson,0.005235602094240838
Salvador Clark,0.005235602094240838
Kenneth Brown,0.005235602094240838
Patricia Keirn,0.010471204188481676
Valerie Webb,0.010471204188481676
Brittany Deane,0.005235602094240838
Daniel Jordan,0.005235602094240838
Blanche Terry,0.005235602094240838
Paulette Dammeyer,0.005235602094240838
Nathaniel Savage,0.005235602094240838
Vernon Flanagan,0.005235602094240838
Stacey Presley,0.005235602094240838
Edward Castellano,0.005235602094240838
Margaret Sanchez,0.005235602094240838
Dorothy Green,0.005235602094240838
Herbert Luhman,0.005235602094240838
Kay Downes,0.005235602094240838
Joseph Harris,0.005235602094240838
Robert Saran,0.005235602094240838
James Brandenburg,0.005235602094240838
Calvin Doolittle,0.005235602094240838
Jo Mazon,0.005235602094240838
Suzanne Ansel,0.005235602094240838
Sherrie Cowan,0.005235602094240838
Pamela Glover,0.005235602094240838
Michael Allen,0.005235602094240838
George Witham,0.005235602094240838
Clement Greer,0.005235602094240838
Rafael Stechlinski,0.005235602094240838
Olivia Richard,0.005235602094240838
Robert Stracener,0.005235602094240838
Jessica Brown,0.005235602094240838
Anna Reynolds,0.005235602094240838
Robert Pope,0.005235602094240838
Joshua Carter,0.005235602094240838
Edith Hardy,0.005235602094240838
Jose Howard,0.005235602094240838
Michelle Scott,0.005235602094240838
Roslyn Barnes,0.005235602094240838
Krystal Sauredo,0.005235602094240838
John Tackett,0.005235602094240838
Randy Brown,0.005235602094240838
Chi Aldape,0.005235602094240838
Cruz Branton,0.005235602094240838
Sadie Crane,0.005235602094240838
Brian Kapinos,0.005235602094240838
Jeffery Graham,0.005235602094240838
Terry Page,0.005235602094240838
Jesus Bartolet,0.005235602094240838
Jay Bridgewater,0.010471204188481676
Barbara Bradley,0.005235602094240838
Tina Wallace,0.005235602094240838
Melissa Paci,0.005235602094240838
Roman Jones,0.005235602094240838
Laurie Bolanos,0.005235602094240838
Sandra Broadnax,0.005235602094240838
Estela Mellinger,0.005235602094240838
Michael Rutter,0.005235602094240838
Gregory Fleming,0.005235602094240838
Crystal Summy,0.005235602094240838
Donnie Longo,0.005235602094240838
Mireille Adamson,0.005235602094240838
Deborah Williams,0.005235602094240838
Daniel Goe,0.005235602094240838
John Christen,0.005235602094240838
Howard Routt,0.005235602094240838
Brian Shannon,0.005235602094240838
Ernest Faulkner,0.005235602094240838
Michelle Green,0.005235602094240838
Dominique Chandler,0.005235602094240838
Amber Nickerson,0.005235602094240838
Kenneth Kilkenny,0.005235602094240838
Florence Harlow,0.005235602094240838
Frank Burns,0.005235602094240838
Rachel Ray,0.005235602094240838
Kristle Peterson,0.005235602094240838
Timothy Inman,0.005235602094240838
Lawrence Jaques,0.005235602094240838
Thomas Shaw,0.005235602094240838
Marion Cropp,0.005235602094240838
Geraldine Werre,0.005235602094240838
Timothy Doxey,0.005235602094240838
Katie Conzemius,0.005235602094240838
Irene Mull,0.005235602094240838
Patricia Breaud,0.005235602094240838
Reginald Metz,0.005235602094240838
Steven Williams,0.005235602094240838
Lena Parker,0.005235602094240838
Joshua Griffith,0.005235602094240838
Terri Lurry,0.005235602094240838
Rex Ware,0.005235602094240838
Beverly Smith,0.005235602094240838
Joseph Lam,0.005235602094240838
Marie Sellers,0.005235602094240838
Gary Rhea,0.010471204188481676
Lisa Hamilton,0.005235602094240838
Joshua Whitfield,0.005235602094240838
Carla Bona,0.005235602094240838
Kevin Waterson,0.005235602094240838
James Tunney,0.005235602094240838
Horace Velasquez,0.005235602094240838
Jose Taylor,0.005235602094240838
Babara Crump,0.005235602094240838
David Ponce,0.005235602094240838
Warren Felder,0.005235602094240838
Donna Baxter,0.005235602094240838
Avis Valley,0.005235602094240838
Georgia Vanscyoc,0.005235602094240838
Florence Whaley,0.005235602094240838
Laurel Brooks,0.005235602094240838
Jonathan Scott,0.005235602094240838
Jack Mullins,0.005235602094240838
Chelsie Huitt,0.005235602094240838
Jame Jimenez,0.005235602094240838
Virginia Steele,0.005235602094240838
Mary Hatch,0.005235602094240838
Mary Pack,0.005235602094240838
Kathlyn Matteucci,0.005235602094240838
Eduardo Jones,0.005235602094240838
Richard Grosso,0.005235602094240838
Perry Cooke,0.005235602094240838
Darlene Browning,0.005235602094240838
Paul Kim,0.005235602094240838
Katie Topping,0.005235602094240838
Patsy Fullard,0.005235602094240838
Louise Ohara,0.005235602094240838
Katherine Duncan,0.005235602094240838
Stephanie Strickland,0.005235602094240838
Leslie Smith,0.005235602094240838
Michael Terrazas,0.005235602094240838
Estela Morris,0.005235602094240838
Terrance Keith,0.005235602094240838
James Norman,0.005235602094240838
Timothy Redden,0.005235602094240838
Mike Castleberry,0.005235602094240838
Charles Mccullough,0.005235602094240838
Claudette Savini,0.005235602094240838
Buddy Silvey,0.005235602094240838
John Lahti,0.005235602094240838
Michael Lanza,0.005235602094240838
Patrick Halvorson,0.005235602094240838
Annie Farr,0.005235602094240838
Rodney Mccall,0.005235602094240838
Jackie Eisner,0.005235602094240838
Shirley Tatsch,0.005235602094240838
Felecia Chueng,0.005235602094240838
Elvira Bailey,0.005235602094240838
Kari Brown,0.005235602094240838
Darrin Melton,0.005235602094240838
Danny Tyler,0.005235602094240838
Erica Williams,0.005235602094240838
Ernesto Kassler,0.005235602094240838
Angie Rogers,0.005235602094240838
Linda Quince,0.005235602094240838
Carlton Wimberly,0.005235602094240838
Jenna Goodwin,0.005235602094240838
Mark Reed,0.005235602094240838
Patricia Mason,0.005235602094240838
Robin Charley,0.005235602094240838
Debra Callaway,0.005235602094240838
Shirley Kruger,0.005235602094240838
Lois Mcgowan,0.005235602094240838
Cynthia Sandoval,0.005235602094240838
Rosalie Weinzierl,0.005235602094240838
Christine Mansfield,0.005235602094240838
Adam Dube,0.005235602094240838
Norman Clough,0.005235602094240838
Victoria Mathis,0.005235602094240838
Sarah Valley,0.005235602094240838
Rachel Moore,0.005235602094240838
Jonathan Heller,0.005235602094240838
Mary Winter,0.005235602094240838
