,calculate_eigenvector_centrality
Brittany Disher,5.237926196791769e-06
Arthur Green,5.237926196791769e-06
Carol Doerr,5.237926196791769e-06
Mercedes Cappello,5.237926196791769e-06
Jesus Martell,5.237926196791769e-06
Helen Hall,5.237926196791769e-06
Janet Castro,5.237926196791769e-06
Debra Bell,5.237926196791769e-06
Shaun Hudson,0.20412414474470336
Terrance Joseph,0.2886751339057682
Gregory Brown,5.237926196791769e-06
Sabrina Butler,5.237926196791769e-06
Doris Shaw,5.237926196791769e-06
Kelly Gearhart,5.237926196791769e-06
April Thomas,0.2886751339057682
Peggy Hopkins,0.20412414474470336
Lynn Holt,5.237926196791769e-06
Roger Rosso,5.237926196791769e-06
Lloyd Gardner,5.237926196791769e-06
Tommie Wiggins,5.237926196791769e-06
James Simpson,5.237926196791769e-06
Salvador Clark,5.237926196791769e-06
Kenneth Brown,0.20412414474470336
Patricia Keirn,0.2886751339057682
Valerie Webb,0.2886751339057682
Brittany Deane,0.20412414474470336
Daniel Jordan,5.237926196791769e-06
Blanche Terry,5.237926196791769e-06
Paulette Dammeyer,5.237926196791769e-06
Nathaniel Savage,5.237926196791769e-06
Vernon Flanagan,5.237926196791769e-06
Stacey Presley,5.237926196791769e-06
Edward Castellano,5.237926196791769e-06
Margaret Sanchez,5.237926196791769e-06
Dorothy Green,5.237926196791769e-06
Herbert Luhman,5.237926196791769e-06
Kay Downes,0.20412414474470336
Joseph Harris,5.237926196791769e-06
Robert Saran,5.237926196791769e-06
James Brandenburg,5.237926196791769e-06
Calvin Doolittle,5.237926196791769e-06
Jo Mazon,5.237926196791769e-06
Suzanne Ansel,5.237926196791769e-06
Sherrie Cowan,5.237926196791769e-06
Pamela Glover,5.237926196791769e-06
Michael Allen,5.237926196791769e-06
George Witham,5.237926196791769e-06
Clement Greer,5.237926196791769e-06
Rafael Stechlinski,5.237926196791769e-06
Olivia Richard,5.237926196791769e-06
Robert Stracener,5.237926196791769e-06
Jessica Brown,5.237926196791769e-06
Anna Reynolds,5.237926196791769e-06
Robert Pope,5.237926196791769e-06
Joshua Carter,5.237926196791769e-06
Edith Hardy,5.237926196791769e-06
Jose Howard,5.237926196791769e-06
Michelle Scott,5.237926196791769e-06
Roslyn Barnes,5.237926196791769e-06
Krystal Sauredo,0.20412414474470336
John Tackett,5.237926196791769e-06
Randy Brown,5.237926196791769e-06
Chi Aldape,5.237926196791769e-06
Cruz Branton,5.237926196791769e-06
Sadie Crane,5.237926196791769e-06
Brian Kapinos,5.237926196791769e-06
Jeffery Graham,5.237926196791769e-06
Terry Page,5.237926196791769e-06
Jesus Bartolet,0.20412414474470336
Jay Bridgewater,0.2886751339057682
Barbara Bradley,5.237926196791769e-06
Tina Wallace,5.237926196791769e-06
Melissa Paci,5.237926196791769e-06
Roman Jones,5.237926196791769e-06
Laurie Bolanos,5.237926196791769e-06
Sandra Broadnax,5.237926196791769e-06
Estela Mellinger,5.237926196791769e-06
Michael Rutter,5.237926196791769e-06
Gregory Fleming,5.237926196791769e-06
Crystal Summy,5.237926196791769e-06
Donnie Longo,5.237926196791769e-06
Mireille Adamson,5.237926196791769e-06
Deborah Williams,5.237926196791769e-06
Daniel Goe,5.237926196791769e-06
John Christen,5.237926196791769e-06
Howard Routt,5.237926196791769e-06
Brian Shannon,5.237926196791769e-06
Ernest Faulkner,5.237926196791769e-06
Michelle Green,5.237926196791769e-06
Dominique Chandler,5.237926196791769e-06
Amber Nickerson,0.20412414474470336
Kenneth Kilkenny,5.237926196791769e-06
Florence Harlow,5.237926196791769e-06
Frank Burns,5.237926196791769e-06
Rachel Ray,5.237926196791769e-06
Kristle Peterson,5.237926196791769e-06
Timothy Inman,5.237926196791769e-06
Lawrence Jaques,5.237926196791769e-06
Thomas Shaw,5.237926196791769e-06
Marion Cropp,5.237926196791769e-06
Geraldine Werre,5.237926196791769e-06
Timothy Doxey,5.237926196791769e-06
Katie Conzemius,5.237926196791769e-06
Irene Mull,5.237926196791769e-06
Patricia Breaud,5.237926196791769e-06
Reginald Metz,5.237926196791769e-06
Steven Williams,5.237926196791769e-06
Lena Parker,5.237926196791769e-06
Joshua Griffith,5.237926196791769e-06
Terri Lurry,5.237926196791769e-06
Rex Ware,5.237926196791769e-06
Beverly Smith,5.237926196791769e-06
Joseph Lam,5.237926196791769e-06
Marie Sellers,0.20412414474470336
Gary Rhea,0.2886751339057682
Lisa Hamilton,5.237926196791769e-06
Joshua Whitfield,5.237926196791769e-06
Carla Bona,5.237926196791769e-06
Kevin Waterson,5.237926196791769e-06
James Tunney,5.237926196791769e-06
Horace Velasquez,5.237926196791769e-06
Jose Taylor,5.237926196791769e-06
Babara Crump,5.237926196791769e-06
David Ponce,5.237926196791769e-06
Warren Felder,5.237926196791769e-06
Donna Baxter,5.237926196791769e-06
Avis Valley,5.237926196791769e-06
Georgia Vanscyoc,5.237926196791769e-06
Florence Whaley,5.237926196791769e-06
Laurel Brooks,5.237926196791769e-06
Jonathan Scott,5.237926196791769e-06
Jack Mullins,5.237926196791769e-06
Chelsie Huitt,5.237926196791769e-06
Jame Jimenez,5.237926196791769e-06
Virginia Steele,5.237926196791769e-06
Mary Hatch,0.20412414474470336
Mary Pack,5.237926196791769e-06
Kathlyn Matteucci,5.237926196791769e-06
Eduardo Jones,5.237926196791769e-06
Richard Grosso,5.237926196791769e-06
Perry Cooke,5.237926196791769e-06
Darlene Browning,5.237926196791769e-06
Paul Kim,5.237926196791769e-06
Katie Topping,5.237926196791769e-06
Patsy Fullard,5.237926196791769e-06
Louise Ohara,5.237926196791769e-06
Katherine Duncan,5.237926196791769e-06
Stephanie Strickland,5.237926196791769e-06
Leslie Smith,5.237926196791769e-06
