,calculate_katz_centrality
Brittany Disher,0.07188236666099578
Arthur Green,0.07188236666099578
Carol Doerr,0.07188236666099578
Mercedes Cappello,0.07188236666099578
Jesus Martell,0.07188236666099578
Helen Hall,0.07188236666099578
Janet Castro,0.07188236666099578
Debra Bell,0.07188236666099578
Shaun Hudson,0.07261584930597373
Terrance Joseph,0.07921729015197135
Gregory Brown,0.07188236666099578
Sabrina Butler,0.07188236666099578
Doris Shaw,0.07188236666099578
Kelly Gearhart,0.07188236666099578
April Thomas,0.07921729015197135
Peggy Hopkins,0.07261584930597373
Lynn Holt,0.07188236666099578
Roger Rosso,0.07188236666099578
Lloyd Gardner,0.07188236666099578
Tommie Wiggins,0.07188236666099578
James Simpson,0.07188236666099578
Salvador Clark,0.07188236666099578
Kenneth Brown,0.07261584930597373
Patricia Keirn,0.07921729015197135
Valerie Webb,0.07921729015197135
Brittany Deane,0.07261584930597373
Daniel Jordan,0.07188236666099578
Blanche Terry,0.07188236666099578
Paulette Dammeyer,0.07188236666099578
Nathaniel Savage,0.07188236666099578
Vernon Flanagan,0.07188236666099578
Stacey Presley,0.07188236666099578
Edward Castellano,0.07188236666099578
Margaret Sanchez,0.07188236666099578
Dorothy Green,0.07188236666099578
Herbert Luhman,0.07188236666099578
Kay Downes,0.07261584930597373
Joseph Harris,0.07188236666099578
Robert Saran,0.07188236666099578
James Brandenburg,0.07188236666099578
Calvin Doolittle,0.07188236666099578
Jo Mazon,0.07188236666099578
Suzanne Ansel,0.07188236666099578
Sherrie Cowan,0.07188236666099578
Pamela Glover,0.07188236666099578
Michael Allen,0.07188236666099578
George Witham,0.07188236666099578
Clement Greer,0.07188236666099578
Rafael Stechlinski,0.07188236666099578
Olivia Richard,0.07188236666099578
Robert Stracener,0.07188236666099578
Jessica Brown,0.07188236666099578
Anna Reynolds,0.07188236666099578
Robert Pope,0.07188236666099578
Joshua Carter,0.07188236666099578
Edith Hardy,0.07188236666099578
Jose Howard,0.07188236666099578
Michelle Scott,0.07188236666099578
Roslyn Barnes,0.07188236666099578
Krystal Sauredo,0.07261584930597373
John Tackett,0.07188236666099578
Randy Brown,0.07188236666099578
Chi Aldape,0.07188236666099578
Cruz Branton,0.07188236666099578
Sadie Crane,0.07188236666099578
Brian Kapinos,0.07188236666099578
Jeffery Graham,0.07188236666099578
Terry Page,0.07188236666099578
Jesus Bartolet,0.07261584930597373
Jay Bridgewater,0.07921729015197135
Barbara Bradley,0.07188236666099578
Tina Wallace,0.07188236666099578
Melissa Paci,0.07188236666099578
Roman Jones,0.07188236666099578
Laurie Bolanos,0.07188236666099578
Sandra Broadnax,0.07188236666099578
Estela Mellinger,0.07188236666099578
Michael Rutter,0.07188236666099578
Gregory Fleming,0.07188236666099578
Crystal Summy,0.07188236666099578
Donnie Longo,0.07188236666099578
Mireille Adamson,0.07188236666099578
Deborah Williams,0.07188236666099578
Daniel Goe,0.07188236666099578
John Christen,0.07188236666099578
Howard Routt,0.07188236666099578
Brian Shannon,0.07188236666099578
Ernest Faulkner,0.07188236666099578
Michelle Green,0.07188236666099578
Dominique Chandler,0.07188236666099578
Amber Nickerson,0.07261584930597373
Kenneth Kilkenny,0.07188236666099578
